GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP22,NHSP_POP22,HSP_POP22,WHT_NHSP22,BLK_NHSP22,AIA_NHSP22,ASN_NHSP22,HPI_NHSP22,OTH_NHSP22
450499205002,45, South Carolina,49, Hampton County,1498,1478,20,706,765,0,0,0,0
450310101001,45, South Carolina,31, Darlington County,410,410,0,111,245,0,11,0,0
450310101002,45, South Carolina,31, Darlington County,1134,1134,0,593,541,0,0,0,0
450310101003,45, South Carolina,31, Darlington County,562,562,0,250,312,0,0,0,0
450310101004,45, South Carolina,31, Darlington County,504,504,0,221,267,0,0,0,6
450310102001,45, South Carolina,31, Darlington County,853,848,5,826,0,0,0,0,0
450310102002,45, South Carolina,31, Darlington County,2713,2713,0,2428,285,0,0,0,0
450310102003,45, South Carolina,31, Darlington County,1230,1230,0,589,506,0,0,0,0
450310102004,45, South Carolina,31, Darlington County,503,503,0,338,165,0,0,0,0
450310103001,45, South Carolina,31, Darlington County,1228,1152,76,1027,96,29,0,0,0
450310103002,45, South Carolina,31, Darlington County,1881,1881,0,1155,315,0,0,0,0
450310103003,45, South Carolina,31, Darlington County,1067,1016,51,677,339,0,0,0,0
450310103004,45, South Carolina,31, Darlington County,987,987,0,737,160,8,0,0,0
450310104001,45, South Carolina,31, Darlington County,858,858,0,812,46,0,0,0,0
450310104002,45, South Carolina,31, Darlington County,2690,2682,8,2182,393,0,107,0,0
450310104003,45, South Carolina,31, Darlington County,386,386,0,346,0,0,0,0,0
450310104004,45, South Carolina,31, Darlington County,1797,1598,199,1342,172,0,11,0,0
450310105001,45, South Carolina,31, Darlington County,890,890,0,557,294,0,5,0,0
450310105002,45, South Carolina,31, Darlington County,833,833,0,599,217,0,14,0,0
450310105003,45, South Carolina,31, Darlington County,549,549,0,473,76,0,0,0,0
450310106001,45, South Carolina,31, Darlington County,1390,1303,87,783,476,0,15,0,0
450310106002,45, South Carolina,31, Darlington County,1414,1414,0,407,888,0,116,0,0
450310106003,45, South Carolina,31, Darlington County,1617,1330,287,380,949,0,0,0,0
450310107001,45, South Carolina,31, Darlington County,571,571,0,0,571,0,0,0,0
450310107002,45, South Carolina,31, Darlington County,1238,1238,0,0,1238,0,0,0,0
450310107003,45, South Carolina,31, Darlington County,491,491,0,20,443,0,0,8,20
450310108001,45, South Carolina,31, Darlington County,760,760,0,195,565,0,0,0,0
450310108002,45, South Carolina,31, Darlington County,1606,1606,0,1038,566,0,0,0,0
450310109011,45, South Carolina,31, Darlington County,1650,1650,0,1136,491,15,0,0,0
450310109012,45, South Carolina,31, Darlington County,1077,1077,0,830,247,0,0,0,0
450310109013,45, South Carolina,31, Darlington County,1237,1209,28,419,769,0,0,0,0
450310109021,45, South Carolina,31, Darlington County,827,827,0,311,508,0,8,0,0
450310109022,45, South Carolina,31, Darlington County,553,529,24,386,111,0,0,0,0
450310109023,45, South Carolina,31, Darlington County,1132,1085,47,826,224,0,0,0,0
450310110001,45, South Carolina,31, Darlington County,635,635,0,275,360,0,0,0,0
450310110002,45, South Carolina,31, Darlington County,1188,1188,0,715,326,0,0,0,0
450310110003,45, South Carolina,31, Darlington County,851,725,126,384,267,0,0,0,0
450310111001,45, South Carolina,31, Darlington County,1023,1023,0,691,301,0,0,0,0
450310111002,45, South Carolina,31, Darlington County,944,933,11,288,633,0,0,0,0
450310112011,45, South Carolina,31, Darlington County,1657,1338,319,506,795,14,15,0,0
450310112012,45, South Carolina,31, Darlington County,323,259,64,32,216,4,0,0,0
450310112021,45, South Carolina,31, Darlington County,1065,1029,36,612,400,0,0,0,0
450310112022,45, South Carolina,31, Darlington County,1338,1338,0,383,955,0,0,0,0
450310113011,45, South Carolina,31, Darlington County,436,408,28,358,50,0,0,0,0
450310113012,45, South Carolina,31, Darlington County,1245,1245,0,543,702,0,0,0,0
450310113013,45, South Carolina,31, Darlington County,1208,1208,0,580,628,0,0,0,0
450310113021,45, South Carolina,31, Darlington County,975,975,0,172,731,0,0,0,0
450310113022,45, South Carolina,31, Darlington County,1522,1493,29,1177,277,39,0,0,0
450310114001,45, South Carolina,31, Darlington County,751,751,0,0,751,0,0,0,0
450310114002,45, South Carolina,31, Darlington County,1042,1042,0,0,1042,0,0,0,0
450310114003,45, South Carolina,31, Darlington County,1630,1570,60,144,1426,0,0,0,0
450310114004,45, South Carolina,31, Darlington County,1014,1014,0,661,353,0,0,0,0
450310115001,45, South Carolina,31, Darlington County,943,943,0,706,228,0,0,0,0
450310115002,45, South Carolina,31, Darlington County,1715,1715,0,774,911,0,0,0,0
450310115003,45, South Carolina,31, Darlington County,1554,1554,0,1096,424,0,0,0,0
450310116001,45, South Carolina,31, Darlington County,998,998,0,604,380,0,0,0,0
450310116002,45, South Carolina,31, Darlington County,1331,1323,8,769,554,0,0,0,0
450310116003,45, South Carolina,31, Darlington County,999,999,0,454,545,0,0,0,0
450679501001,45, South Carolina,67, Marion County,1358,1343,15,814,291,194,0,0,0
450679501002,45, South Carolina,67, Marion County,857,857,0,456,398,0,0,0,0
450679501003,45, South Carolina,67, Marion County,1005,1005,0,33,972,0,0,0,0
450679501004,45, South Carolina,67, Marion County,810,810,0,625,168,0,0,0,0
450679502001,45, South Carolina,67, Marion County,2432,2432,0,681,1621,0,0,0,0
450679502002,45, South Carolina,67, Marion County,777,777,0,572,182,23,0,0,0
450679502003,45, South Carolina,67, Marion County,1386,1386,0,743,643,0,0,0,0
450679502004,45, South Carolina,67, Marion County,695,695,0,301,394,0,0,0,0
450679502005,45, South Carolina,67, Marion County,398,398,0,121,277,0,0,0,0
450679503001,45, South Carolina,67, Marion County,455,455,0,28,400,0,0,0,0
450679503002,45, South Carolina,67, Marion County,1040,1040,0,253,757,0,0,0,0
450679503003,45, South Carolina,67, Marion County,610,610,0,209,401,0,0,0,0
450679503004,45, South Carolina,67, Marion County,305,305,0,90,215,0,0,0,0
450679504001,45, South Carolina,67, Marion County,631,627,4,180,442,0,0,0,0
450679504002,45, South Carolina,67, Marion County,840,784,56,567,196,0,0,0,0
450679504003,45, South Carolina,67, Marion County,492,492,0,109,383,0,0,0,0
450679504004,45, South Carolina,67, Marion County,1155,1155,0,99,1056,0,0,0,0
450679505001,45, South Carolina,67, Marion County,578,422,156,322,37,0,0,0,17
450679505002,45, South Carolina,67, Marion County,560,560,0,525,23,12,0,0,0
450679505003,45, South Carolina,67, Marion County,539,539,0,512,27,0,0,0,0
450679505004,45, South Carolina,67, Marion County,1018,1018,0,344,668,0,0,0,0
450679505005,45, South Carolina,67, Marion County,1318,1318,0,658,660,0,0,0,0
450679506001,45, South Carolina,67, Marion County,1400,1400,0,358,1041,0,0,0,0
450679506002,45, South Carolina,67, Marion County,1400,1022,378,768,254,0,0,0,0
450679506003,45, South Carolina,67, Marion County,1594,1593,1,157,1384,0,0,0,0
450679506004,45, South Carolina,67, Marion County,911,911,0,52,859,0,0,0,0
450679506005,45, South Carolina,67, Marion County,662,662,0,266,335,0,61,0,0
450679507001,45, South Carolina,67, Marion County,751,751,0,194,553,0,0,0,0
450679507002,45, South Carolina,67, Marion County,1012,1012,0,293,715,4,0,0,0
450679508001,45, South Carolina,67, Marion County,1534,1188,346,533,655,0,0,0,0
450679508002,45, South Carolina,67, Marion County,689,689,0,256,428,0,0,0,0
450070002001,45, South Carolina,7, Anderson County,1209,1200,9,1058,87,0,0,0,0
450070002002,45, South Carolina,7, Anderson County,1620,1587,33,1396,113,0,22,0,0
450070002003,45, South Carolina,7, Anderson County,1761,1739,22,1599,25,0,50,6,0
450070003001,45, South Carolina,7, Anderson County,1121,1121,0,815,201,0,17,0,0
450070003002,45, South Carolina,7, Anderson County,2154,2111,43,1494,512,0,105,0,0
450070003003,45, South Carolina,7, Anderson County,2174,2105,69,1580,49,0,237,0,0
450070005001,45, South Carolina,7, Anderson County,1372,1309,63,590,456,0,16,0,0
450070005002,45, South Carolina,7, Anderson County,1105,1105,0,131,908,0,4,0,18
450070006001,45, South Carolina,7, Anderson County,695,639,56,169,460,0,0,0,0
450070006002,45, South Carolina,7, Anderson County,933,919,14,312,607,0,0,0,0
450070006003,45, South Carolina,7, Anderson County,894,877,17,157,704,0,0,0,0
450070006004,45, South Carolina,7, Anderson County,638,423,215,64,359,0,0,0,0
450070007011,45, South Carolina,7, Anderson County,701,697,4,372,293,0,0,0,0
