GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC22,TOT_HOUS22,0_35K,35K_60K,60K-100K,100K_125K,125K_150K,150K_MORE
450279607032,45, South Carolina,27, Clarendon County,67972.0,1049,234,237,390,20,18,150
450279608011,45, South Carolina,27, Clarendon County,47596.0,213,105,45,22,32,9,0
450279608012,45, South Carolina,27, Clarendon County,27898.0,259,152,38,28,2,5,34
450279608013,45, South Carolina,27, Clarendon County,50598.0,283,107,99,37,10,30,0
450279608014,45, South Carolina,27, Clarendon County,42989.0,331,123,75,109,8,4,12
450279608021,45, South Carolina,27, Clarendon County,49091.0,540,227,87,108,59,45,14
450279608022,45, South Carolina,27, Clarendon County,56799.0,401,143,69,141,13,19,16
450279608023,45, South Carolina,27, Clarendon County,43438.0,190,74,55,15,22,9,15
450279800001,45, South Carolina,27, Clarendon County,,0,0,0,0,0,0,0
450190001001,45, South Carolina,19, Charleston County,59076.0,343,127,53,76,8,8,71
450190001002,45, South Carolina,19, Charleston County,153750.0,230,41,20,33,7,11,118
450190001003,45, South Carolina,19, Charleston County,160288.0,315,17,55,26,0,16,201
450190002001,45, South Carolina,19, Charleston County,144643.0,310,34,73,22,20,7,154
450190002002,45, South Carolina,19, Charleston County,191250.0,377,14,62,22,12,50,217
450190004001,45, South Carolina,19, Charleston County,26169.0,649,383,78,74,0,17,97
450190004002,45, South Carolina,19, Charleston County,47768.0,478,227,45,61,10,8,127
450190005001,45, South Carolina,19, Charleston County,98239.0,361,71,28,97,17,5,143
450190005002,45, South Carolina,19, Charleston County,82005.0,445,100,38,94,16,47,150
450190006001,45, South Carolina,19, Charleston County,93189.0,527,114,55,151,62,50,95
450190007001,45, South Carolina,19, Charleston County,33147.0,679,361,52,103,57,42,64
450190007002,45, South Carolina,19, Charleston County,,169,106,4,24,0,8,27
450190009001,45, South Carolina,19, Charleston County,66136.0,252,42,42,90,0,0,78
450190009002,45, South Carolina,19, Charleston County,72857.0,336,143,16,82,16,15,64
450190010001,45, South Carolina,19, Charleston County,63571.0,628,255,53,149,42,24,105
450190010002,45, South Carolina,19, Charleston County,65357.0,532,178,72,125,11,63,83
450190011001,45, South Carolina,19, Charleston County,,488,107,45,82,0,17,237
450190011002,45, South Carolina,19, Charleston County,94659.0,227,16,46,53,20,52,40
450190011003,45, South Carolina,19, Charleston County,36800.0,722,343,125,106,109,9,30
450190015001,45, South Carolina,19, Charleston County,82500.0,438,127,68,84,27,21,111
450190015002,45, South Carolina,19, Charleston County,120083.0,245,64,5,19,53,26,78
450190019011,45, South Carolina,19, Charleston County,139531.0,847,38,118,227,34,32,398
450190019012,45, South Carolina,19, Charleston County,103925.0,367,34,64,53,97,18,101
450190019013,45, South Carolina,19, Charleston County,80161.0,783,103,157,227,87,43,166
450190019021,45, South Carolina,19, Charleston County,91771.0,1265,336,71,274,284,81,219
450190019022,45, South Carolina,19, Charleston County,54597.0,277,24,124,82,6,0,41
450190019023,45, South Carolina,19, Charleston County,50614.0,952,176,419,210,27,51,69
450190020021,45, South Carolina,19, Charleston County,86574.0,858,60,197,256,121,109,115
450190020022,45, South Carolina,19, Charleston County,120809.0,663,56,59,166,97,67,218
450190020023,45, South Carolina,19, Charleston County,86042.0,436,107,38,151,49,20,71
450190020024,45, South Carolina,19, Charleston County,115121.0,545,58,75,138,96,19,159
450190020041,45, South Carolina,19, Charleston County,75188.0,271,82,43,52,24,5,65
450190020042,45, South Carolina,19, Charleston County,124141.0,107,0,0,43,16,10,38
450190020051,45, South Carolina,19, Charleston County,122917.0,608,35,37,144,98,58,236
450190020052,45, South Carolina,19, Charleston County,91667.0,942,68,105,369,78,79,243
450190020053,45, South Carolina,19, Charleston County,130616.0,974,28,114,218,110,115,389
450190020061,45, South Carolina,19, Charleston County,91875.0,343,75,14,105,18,32,99
450190020062,45, South Carolina,19, Charleston County,95352.0,540,35,108,223,44,17,113
450190020063,45, South Carolina,19, Charleston County,113227.0,1049,208,65,117,269,31,359
450190020071,45, South Carolina,19, Charleston County,144063.0,538,22,51,127,38,45,255
450190020072,45, South Carolina,19, Charleston County,179643.0,640,51,45,43,69,60,372
450190020081,45, South Carolina,19, Charleston County,69430.0,1073,164,226,405,118,57,103
450190020082,45, South Carolina,19, Charleston County,90650.0,588,114,97,157,74,0,146
450190020083,45, South Carolina,19, Charleston County,58750.0,419,163,54,35,135,16,16
450190020091,45, South Carolina,19, Charleston County,82926.0,1702,264,382,391,287,160,218
450190020092,45, South Carolina,19, Charleston County,118459.0,352,26,47,31,125,42,81
450190020093,45, South Carolina,19, Charleston County,,197,109,0,0,77,11,0
450190021031,45, South Carolina,19, Charleston County,58917.0,252,69,83,0,24,20,56
450190021032,45, South Carolina,19, Charleston County,112730.0,745,135,103,131,132,107,137
450190021033,45, South Carolina,19, Charleston County,65574.0,119,20,31,37,0,0,31
450190021034,45, South Carolina,19, Charleston County,,538,169,87,34,64,57,127
450190021041,45, South Carolina,19, Charleston County,236591.0,718,43,17,66,79,29,484
450190021042,45, South Carolina,19, Charleston County,189250.0,415,33,48,13,62,5,254
450190021051,45, South Carolina,19, Charleston County,131250.0,722,71,19,188,77,31,336
450190021052,45, South Carolina,19, Charleston County,118125.0,521,104,25,94,42,22,234
450190021061,45, South Carolina,19, Charleston County,123636.0,690,81,55,103,112,38,301
450190021062,45, South Carolina,19, Charleston County,92928.0,623,66,135,142,62,19,199
450190021071,45, South Carolina,19, Charleston County,110936.0,2248,232,365,309,484,125,733
450190021072,45, South Carolina,19, Charleston County,102269.0,713,104,57,171,56,117,208
450190021073,45, South Carolina,19, Charleston County,110493.0,851,100,44,274,38,103,292
450190021074,45, South Carolina,19, Charleston County,,722,193,152,52,106,163,56
450190021081,45, South Carolina,19, Charleston County,66184.0,386,51,88,133,47,67,0
450190021082,45, South Carolina,19, Charleston County,,436,21,60,131,0,17,207
450190022001,45, South Carolina,19, Charleston County,54301.0,499,140,126,84,60,15,74
